object_1,relations,object_2,image_Name,,Color
cat_0.98,is close to,cup_0.34,download (10).jpg,,
cup_0.34,is close to,cat_0.98,download (10).jpg,,
cat_1.0,is far from,dining table_0.24,download (12).jpg,,
dining table_0.24,is far from,cat_1.0,download (12).jpg,,
elephant_0.93,is far from,elephant_0.84,download (14).jpg,,
elephant_0.84,is far from,elephant_0.93,download (14).jpg,,
elephant_0.92,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is close to,elephant_0.92,download (15).jpg,,
elephant_0.92,is far from,elephant_0.82,download (15).jpg,,
elephant_0.82,is far from,elephant_0.92,download (15).jpg,,
elephant_0.92,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is close to,elephant_0.92,download (15).jpg,,
elephant_0.92,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,elephant_0.92,download (15).jpg,,
elephant_0.92,is far from,cow_0.72,download (15).jpg,,
cow_0.72,is far from,elephant_0.92,download (15).jpg,,
elephant_0.92,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,elephant_0.92,download (15).jpg,,
elephant_0.92,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,elephant_0.92,download (15).jpg,,
elephant_0.92,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,elephant_0.92,download (15).jpg,,
cow_0.84,is close to,elephant_0.82,download (15).jpg,,
elephant_0.82,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is close to,cow_0.72,download (15).jpg,,
cow_0.72,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,cow_0.84,download (15).jpg,,
cow_0.84,is far from,elephant_0.49,download (15).jpg,,
elephant_0.49,is far from,cow_0.84,download (15).jpg,,
cow_0.84,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,cow_0.84,download (15).jpg,,
elephant_0.82,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is close to,elephant_0.82,download (15).jpg,,
elephant_0.82,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,elephant_0.82,download (15).jpg,,
elephant_0.82,is far from,cow_0.72,download (15).jpg,,
cow_0.72,is far from,elephant_0.82,download (15).jpg,,
elephant_0.82,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,elephant_0.82,download (15).jpg,,
elephant_0.82,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,elephant_0.82,download (15).jpg,,
elephant_0.82,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,elephant_0.82,download (15).jpg,,
cow_0.79,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is close to,cow_0.72,download (15).jpg,,
cow_0.72,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is far from,elephant_0.58,download (15).jpg,,
elephant_0.58,is far from,cow_0.79,download (15).jpg,,
cow_0.79,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,cow_0.79,download (15).jpg,,
cow_0.79,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,cow_0.79,download (15).jpg,,
cow_0.74,is close to,cow_0.72,download (15).jpg,,
cow_0.72,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,cow_0.74,download (15).jpg,,
cow_0.74,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,cow_0.74,download (15).jpg,,
cow_0.72,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,cow_0.72,download (15).jpg,,
cow_0.72,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,cow_0.72,download (15).jpg,,
cow_0.72,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,cow_0.72,download (15).jpg,,
elephant_0.58,is close to,elephant_0.49,download (15).jpg,,
elephant_0.49,is close to,elephant_0.58,download (15).jpg,,
elephant_0.58,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,elephant_0.58,download (15).jpg,,
elephant_0.49,is close to,elephant_0.3,download (15).jpg,,
elephant_0.3,is close to,elephant_0.49,download (15).jpg,,
elephant_0.94,is close to,elephant_0.57,download (16).jpg,,
elephant_0.57,is close to,elephant_0.94,download (16).jpg,,
elephant_0.99,is close to,car_0.74,download (17).jpg,,
car_0.74,is close to,elephant_0.99,download (17).jpg,,
elephant_0.99,is far from,elephant_0.61,download (17).jpg,,
elephant_0.61,is far from,elephant_0.99,download (17).jpg,,
car_0.74,is close to,elephant_0.61,download (17).jpg,,
elephant_0.61,is close to,car_0.74,download (17).jpg,,
car_0.99,is close to,dog_0.83,download (18).jpg,,
dog_0.83,is close to,car_0.99,download (18).jpg,,
elephant_0.99,is close to,car_0.94,download (19).jpg,,
car_0.94,is close to,elephant_0.99,download (19).jpg,,
car_1.0,is close to,car_0.92,download (2).jpg,,
car_0.92,is close to,car_1.0,download (2).jpg,,
person_1.0,is close to,car_0.99,download (3).jpg,,
car_0.99,is close to,person_1.0,download (3).jpg,,
bus_1.0,is close to,traffic light_0.45,download (7).jpg,,
traffic light_0.45,is close to,bus_1.0,download (7).jpg,,
bus_1.0,is close to,person_0.31,download (9).jpg,,
person_0.31,is close to,bus_1.0,download (9).jpg,,
elephant_0.98,is far from,truck_0.83,images (1).jpg,,
truck_0.83,is far from,elephant_0.98,images (1).jpg,,
elephant_0.98,is close to,car_0.76,images (1).jpg,,
car_0.76,is close to,elephant_0.98,images (1).jpg,,
elephant_0.98,is close to,truck_0.69,images (1).jpg,,
truck_0.69,is close to,elephant_0.98,images (1).jpg,,
elephant_0.98,is close to,car_0.4,images (1).jpg,,
car_0.4,is close to,elephant_0.98,images (1).jpg,,
truck_0.83,is close to,car_0.76,images (1).jpg,,
car_0.76,is close to,truck_0.83,images (1).jpg,,
truck_0.83,is close to,truck_0.69,images (1).jpg,,
truck_0.69,is close to,truck_0.83,images (1).jpg,,
truck_0.83,is close to,car_0.4,images (1).jpg,,
car_0.4,is close to,truck_0.83,images (1).jpg,,
car_0.76,is close to,truck_0.69,images (1).jpg,,
truck_0.69,is close to,car_0.76,images (1).jpg,,
car_0.76,is far from,car_0.4,images (1).jpg,,
car_0.4,is far from,car_0.76,images (1).jpg,,
truck_0.69,is close to,car_0.4,images (1).jpg,,
car_0.4,is close to,truck_0.69,images (1).jpg,,
person_0.99,is close to,car_0.98,images.jpg,,
car_0.98,is close to,person_0.99,images.jpg,,
person_0.99,is close to,elephant_0.92,images.jpg,,
elephant_0.92,is close to,person_0.99,images.jpg,,
person_0.99,is far from,person_0.9,images.jpg,,
person_0.9,is far from,person_0.99,images.jpg,,
person_0.99,is close to,person_0.43,images.jpg,,
person_0.43,is close to,person_0.99,images.jpg,,
person_0.99,is close to,person_0.3,images.jpg,,
person_0.3,is close to,person_0.99,images.jpg,,
car_0.98,is close to,elephant_0.92,images.jpg,,
elephant_0.92,is close to,car_0.98,images.jpg,,
car_0.98,is close to,person_0.9,images.jpg,,
person_0.9,is close to,car_0.98,images.jpg,,
car_0.98,is close to,person_0.43,images.jpg,,
person_0.43,is close to,car_0.98,images.jpg,,
car_0.98,is close to,person_0.3,images.jpg,,
person_0.3,is close to,car_0.98,images.jpg,,
elephant_0.92,is close to,person_0.9,images.jpg,,
person_0.9,is close to,elephant_0.92,images.jpg,,
elephant_0.92,is close to,person_0.43,images.jpg,,
person_0.43,is close to,elephant_0.92,images.jpg,,
elephant_0.92,is close to,person_0.3,images.jpg,,
person_0.3,is close to,elephant_0.92,images.jpg,,
person_0.9,is close to,person_0.43,images.jpg,,
person_0.43,is close to,person_0.9,images.jpg,,
person_0.9,is close to,person_0.3,images.jpg,,
person_0.3,is close to,person_0.9,images.jpg,,
person_0.43,is close to,person_0.3,images.jpg,,
person_0.3,is close to,person_0.43,images.jpg,,
cat,is greater than,cup,download (10).jpg,,
cup,is smaller than,cat,download (10).jpg,,
cat,is smaller than,dining table,download (12).jpg,,
dining table,is greater than,cat,download (12).jpg,,
elephant,is greater than,elephant,download (14).jpg,,
elephant,is smaller than,elephant,download (14).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is smaller than,cow,download (15).jpg,,
cow,is greater than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
cow,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,cow,download (15).jpg,,
cow,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,cow,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (15).jpg,,
elephant,is smaller than,elephant,download (15).jpg,,
elephant,is greater than,elephant,download (16).jpg,,
elephant,is smaller than,elephant,download (16).jpg,,
elephant,is greater than,car,download (17).jpg,,
car,is smaller than,elephant,download (17).jpg,,
elephant,is greater than,elephant,download (17).jpg,,
elephant,is smaller than,elephant,download (17).jpg,,
car,is smaller than,elephant,download (17).jpg,,
elephant,is greater than,car,download (17).jpg,,
car,is smaller than,dog,download (18).jpg,,
dog,is greater than,car,download (18).jpg,,
elephant,is greater than,car,download (19).jpg,,
car,is smaller than,elephant,download (19).jpg,,
car,is greater than,car,download (2).jpg,,
car,is smaller than,car,download (2).jpg,,
person,is smaller than,car,download (3).jpg,,
car,is greater than,person,download (3).jpg,,
bus,is greater than,traffic light,download (7).jpg,,
traffic light,is smaller than,bus,download (7).jpg,,
bus,is greater than,person,download (9).jpg,,
person,is smaller than,bus,download (9).jpg,,
elephant,is smaller than,truck,images (1).jpg,,
truck,is greater than,elephant,images (1).jpg,,
elephant,is greater than,car,images (1).jpg,,
car,is smaller than,elephant,images (1).jpg,,
elephant,is smaller than,truck,images (1).jpg,,
truck,is greater than,elephant,images (1).jpg,,
elephant,is greater than,car,images (1).jpg,,
car,is smaller than,elephant,images (1).jpg,,
truck,is greater than,car,images (1).jpg,,
car,is smaller than,truck,images (1).jpg,,
truck,is smaller than,truck,images (1).jpg,,
truck,is greater than,truck,images (1).jpg,,
truck,is greater than,car,images (1).jpg,,
car,is smaller than,truck,images (1).jpg,,
car,is smaller than,truck,images (1).jpg,,
truck,is greater than,car,images (1).jpg,,
