object_1,relations,object_2,image_Name
cat,is close to,cup,download (10).jpg
cup,is far from,cat,download (10).jpg
cat,is far from,dining table,download (12).jpg
dining table,is close to,cat,download (12).jpg
elephant,is far from,elephant,download (14).jpg
elephant,is close to,elephant,download (14).jpg
elephant,is close to,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is far from,elephant,download (15).jpg
elephant,is close to,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,cow,download (15).jpg
cow,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
cow,is close to,elephant,download (15).jpg
elephant,is far from,cow,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (15).jpg
elephant,is far from,elephant,download (15).jpg
elephant,is close to,elephant,download (16).jpg
elephant,is far from,elephant,download (16).jpg
elephant,is close to,car,download (17).jpg
car,is far from,elephant,download (17).jpg
elephant,is far from,elephant,download (17).jpg
elephant,is close to,elephant,download (17).jpg
car,is close to,elephant,download (17).jpg
elephant,is far from,car,download (17).jpg
car,is close to,dog,download (18).jpg
dog,is far from,car,download (18).jpg
elephant,is close to,car,download (19).jpg
car,is far from,elephant,download (19).jpg
car,is close to,car,download (2).jpg
car,is far from,car,download (2).jpg
person,is close to,car,download (3).jpg
car,is far from,person,download (3).jpg
bus,is close to,traffic light,download (7).jpg
traffic light,is far from,bus,download (7).jpg
bus,is close to,person,download (9).jpg
person,is far from,bus,download (9).jpg
elephant,is far from,truck,images (1).jpg
truck,is close to,elephant,images (1).jpg
elephant,is close to,car,images (1).jpg
car,is far from,elephant,images (1).jpg
elephant,is close to,truck,images (1).jpg
truck,is far from,elephant,images (1).jpg
elephant,is close to,car,images (1).jpg
car,is far from,elephant,images (1).jpg
truck,is close to,car,images (1).jpg
car,is far from,truck,images (1).jpg
truck,is close to,truck,images (1).jpg
truck,is far from,truck,images (1).jpg
truck,is close to,car,images (1).jpg
car,is far from,truck,images (1).jpg
car,is close to,truck,images (1).jpg
truck,is far from,car,images (1).jpg
car,is far from,car,images (1).jpg
car,is close to,car,images (1).jpg
truck,is close to,car,images (1).jpg
car,is far from,truck,images (1).jpg
person,is close to,car,images.jpg
car,is far from,person,images.jpg
person,is close to,elephant,images.jpg
elephant,is far from,person,images.jpg
person,is far from,person,images.jpg
person,is close to,person,images.jpg
person,is close to,person,images.jpg
person,is far from,person,images.jpg
person,is close to,person,images.jpg
person,is far from,person,images.jpg
car,is close to,elephant,images.jpg
elephant,is far from,car,images.jpg
car,is close to,person,images.jpg
person,is far from,car,images.jpg
car,is close to,person,images.jpg
person,is far from,car,images.jpg
