Image_name,object name,is far from,is close to,is smaller than,is greater than,overlaps,doesn't overlap,is in the right of,is in the left of,in between,is in the bottom of,is in the top of
download (1).jpg,car,,,,,,,,,,,
download (10).jpg,cat,,,,,,,,,,,
download (10).jpg,cup,,,,,,,,,,,
download (11).jpg,cat,,,,,,,,,,,
download (12).jpg,cat,,,,,,,,,,,
download (12).jpg,diningtable,,,,,,,,,,,
download (13).jpg,cat,,,,,,,,,,,
download (14).jpg,elephant,,,,,,,,,,,
download (14).jpg,elephant,,,,,,,,,,,
download (15).jpg,elephant,,,,,,,,,,,
download (15).jpg,cow,,,,,,,,,,,
download (15).jpg,elephant,,,,,,,,,,,
download (15).jpg,cow,,,,,,,,,,,
download (15).jpg,cow,,,,,,,,,,,
download (15).jpg,cow,,,,,,,,,,,
download (15).jpg,elephant,,,,,,,,,,,
download (15).jpg,elephant,,,,,,,,,,,
download (15).jpg,elephant,,,,,,,,,,,
download (16).jpg,elephant,,,,,,,,,,,
download (16).jpg,elephant,,,,,,,,,,,
download (17).jpg,elephant,,,,,,,,,,,
download (17).jpg,car,,,,,,,,,,,
download (17).jpg,elephant,,,,,,,,,,,
download (18).jpg,car,,,,,,,,,,,
download (18).jpg,dog,,,,,,,,,,,
download (19).jpg,elephant,,,,,,,,,,,
download (19).jpg,car,,,,,,,,,,,
download (2).jpg,car,,,,,,,,,,,
download (2).jpg,car,,,,,,,,,,,
download (3).jpg,person,,,,,,,,,,,
download (3).jpg,car,,,,,,,,,,,
download (4).jpg,car,,,,,,,,,,,
download (5).jpg,car,,,,,,,,,,,
download (6).jpg,bus,,,,,,,,,,,
download (7).jpg,bus,,,,,,,,,,,
download (7).jpg,traffic light,,,,,,,,,,,
download (8).jpg,bus,,,,,,,,,,,
download (9).jpg,bus,,,,,,,,,,,
download (9).jpg,person,,,,,,,,,,,
download.jpg,car,,,,,,,,,,,
images (1).jpg,elephant,,,,,,,,,,,
images (1).jpg,truck,,,,,,,,,,,
images (1).jpg,car,,,,,,,,,,,
images (1).jpg,truck,,,,,,,,,,,
images (1).jpg,car,,,,,,,,,,,
images.jpg,person,,,,,,,,,,,
images.jpg,car,,,,,,,,,,,
images.jpg,elephant,,,,,,,,,,,
images.jpg,person,,,,,,,,,,,
images.jpg,person,,,,,,,,,,,
images.jpg,person,,,,,,,,,,,
